,freq_band,label_1,label_2,group,connection_strength
0,alpha,parahippocampal-lh,superiorfrontal-lh,control,0.0027285747406364923
1,alpha,parahippocampal-lh,superiorfrontal-lh,control,0.001617199733537926
2,alpha,parahippocampal-lh,superiorfrontal-lh,control,0.0
3,alpha,parahippocampal-lh,superiorfrontal-lh,control,0.01610241640684583
4,alpha,parahippocampal-lh,superiorfrontal-lh,control,0.013316482340089718
5,alpha,parahippocampal-lh,superiorfrontal-lh,control,0.013665128966409437
6,alpha,parahippocampal-lh,superiorfrontal-lh,control,0.004533938354587856
7,alpha,parahippocampal-lh,superiorfrontal-lh,control,0.0
8,alpha,parahippocampal-lh,superiorfrontal-lh,control,0.008840827512619024
9,alpha,parahippocampal-lh,superiorfrontal-lh,control,0.0
10,alpha,parahippocampal-lh,superiorfrontal-lh,control,0.0
11,alpha,parahippocampal-lh,superiorfrontal-lh,control,0.0
12,alpha,parahippocampal-lh,superiorfrontal-lh,control,0.0
13,alpha,parahippocampal-lh,superiorfrontal-lh,control,0.007819206064769088
14,alpha,parahippocampal-lh,superiorfrontal-lh,control,0.015352640593997744
15,alpha,parahippocampal-lh,superiorfrontal-lh,control,0.005361507930718128
16,alpha,parahippocampal-lh,superiorfrontal-lh,control,0.01397852779133348
17,alpha,parahippocampal-lh,superiorfrontal-lh,control,0.0
18,alpha,parahippocampal-lh,superiorfrontal-lh,control,0.0
19,alpha,parahippocampal-lh,superiorfrontal-lh,control,0.006532076561002637
20,alpha,parahippocampal-lh,superiorfrontal-lh,control,0.0
21,alpha,parahippocampal-lh,superiorfrontal-lh,control,0.0
22,alpha,parahippocampal-lh,superiorfrontal-lh,control,0.01114829177800469
23,alpha,parahippocampal-lh,superiorfrontal-lh,case,0.01751324115570256
24,alpha,parahippocampal-lh,superiorfrontal-lh,case,0.01625125753234323
25,alpha,parahippocampal-lh,superiorfrontal-lh,case,0.02023815500912526
26,alpha,parahippocampal-lh,superiorfrontal-lh,case,0.015756189882550477
27,alpha,parahippocampal-lh,superiorfrontal-lh,case,0.009701781731415041
28,alpha,parahippocampal-lh,superiorfrontal-lh,case,0.017861279330135395
29,alpha,parahippocampal-lh,superiorfrontal-lh,case,0.007859415045156299
30,alpha,parahippocampal-lh,superiorfrontal-lh,case,0.01215408736424054
31,alpha,parahippocampal-lh,superiorfrontal-lh,case,0.01710636729688631
32,alpha,parahippocampal-lh,superiorfrontal-lh,case,0.00840353586221077
33,alpha,parahippocampal-lh,superiorfrontal-lh,case,0.01272818560207032
34,alpha,parahippocampal-lh,superiorfrontal-lh,case,0.019174989006699842
35,alpha,parahippocampal-lh,superiorfrontal-lh,case,0.016093538089197064
36,alpha,parahippocampal-lh,superiorfrontal-lh,case,0.014393164977968512
37,alpha,parahippocampal-lh,superiorfrontal-lh,case,0.01943233898511042
38,alpha,parahippocampal-lh,superiorfrontal-lh,case,0.012439362947530388
39,alpha,parahippocampal-lh,superiorfrontal-lh,case,0.012736371808818557
40,alpha,parahippocampal-lh,superiorfrontal-lh,case,0.006441021574589994
0,alpha,parahippocampal-lh,superiorfrontal-rh,control,0.0009495987097481027
1,alpha,parahippocampal-lh,superiorfrontal-rh,control,0.0012114367024036036
2,alpha,parahippocampal-lh,superiorfrontal-rh,control,0.0
3,alpha,parahippocampal-lh,superiorfrontal-rh,control,0.016348120348938316
4,alpha,parahippocampal-lh,superiorfrontal-rh,control,0.014090235654198459
5,alpha,parahippocampal-lh,superiorfrontal-rh,control,0.012352880490221574
6,alpha,parahippocampal-lh,superiorfrontal-rh,control,0.006772289364274908
7,alpha,parahippocampal-lh,superiorfrontal-rh,control,0.0
8,alpha,parahippocampal-lh,superiorfrontal-rh,control,0.011291342161786826
9,alpha,parahippocampal-lh,superiorfrontal-rh,control,0.0
10,alpha,parahippocampal-lh,superiorfrontal-rh,control,0.001017023684127572
11,alpha,parahippocampal-lh,superiorfrontal-rh,control,0.0
12,alpha,parahippocampal-lh,superiorfrontal-rh,control,0.0
13,alpha,parahippocampal-lh,superiorfrontal-rh,control,0.007258019472111775
14,alpha,parahippocampal-lh,superiorfrontal-rh,control,0.01203330971257546
15,alpha,parahippocampal-lh,superiorfrontal-rh,control,0.004545721077057618
16,alpha,parahippocampal-lh,superiorfrontal-rh,control,0.012995999741584345
17,alpha,parahippocampal-lh,superiorfrontal-rh,control,0.0012434965362394346
18,alpha,parahippocampal-lh,superiorfrontal-rh,control,0.0
19,alpha,parahippocampal-lh,superiorfrontal-rh,control,0.0032865088435419477
20,alpha,parahippocampal-lh,superiorfrontal-rh,control,0.0
21,alpha,parahippocampal-lh,superiorfrontal-rh,control,0.0
22,alpha,parahippocampal-lh,superiorfrontal-rh,control,0.012109727171429099
23,alpha,parahippocampal-lh,superiorfrontal-rh,case,0.017538006183582967
24,alpha,parahippocampal-lh,superiorfrontal-rh,case,0.01625725348944326
25,alpha,parahippocampal-lh,superiorfrontal-rh,case,0.020234342341024076
26,alpha,parahippocampal-lh,superiorfrontal-rh,case,0.01551058933273105
27,alpha,parahippocampal-lh,superiorfrontal-rh,case,0.010076658372441474
28,alpha,parahippocampal-lh,superiorfrontal-rh,case,0.017587867027588248
29,alpha,parahippocampal-lh,superiorfrontal-rh,case,0.007945592853359197
30,alpha,parahippocampal-lh,superiorfrontal-rh,case,0.010796874160951014
31,alpha,parahippocampal-lh,superiorfrontal-rh,case,0.01751821946090311
32,alpha,parahippocampal-lh,superiorfrontal-rh,case,0.007080714140219394
33,alpha,parahippocampal-lh,superiorfrontal-rh,case,0.011947765268047444
34,alpha,parahippocampal-lh,superiorfrontal-rh,case,0.018595102860625067
35,alpha,parahippocampal-lh,superiorfrontal-rh,case,0.017287453375195
36,alpha,parahippocampal-lh,superiorfrontal-rh,case,0.01636066881731578
37,alpha,parahippocampal-lh,superiorfrontal-rh,case,0.019011850029177248
38,alpha,parahippocampal-lh,superiorfrontal-rh,case,0.012545841968337874
39,alpha,parahippocampal-lh,superiorfrontal-rh,case,0.011703177977685815
40,alpha,parahippocampal-lh,superiorfrontal-rh,case,0.005138051567945143
0,beta,bankssts-lh,rostralmiddlefrontal-lh,control,0.0
1,beta,bankssts-lh,rostralmiddlefrontal-lh,control,0.013582559867645519
2,beta,bankssts-lh,rostralmiddlefrontal-lh,control,0.0
3,beta,bankssts-lh,rostralmiddlefrontal-lh,control,0.011977953830333945
4,beta,bankssts-lh,rostralmiddlefrontal-lh,control,0.0008640101507874557
5,beta,bankssts-lh,rostralmiddlefrontal-lh,control,0.009818261827007855
6,beta,bankssts-lh,rostralmiddlefrontal-lh,control,0.0
7,beta,bankssts-lh,rostralmiddlefrontal-lh,control,0.0
8,beta,bankssts-lh,rostralmiddlefrontal-lh,control,0.0013443612045090116
9,beta,bankssts-lh,rostralmiddlefrontal-lh,control,0.005493645365778371
10,beta,bankssts-lh,rostralmiddlefrontal-lh,control,0.0062187549568825575
11,beta,bankssts-lh,rostralmiddlefrontal-lh,control,0.0
12,beta,bankssts-lh,rostralmiddlefrontal-lh,control,0.0
13,beta,bankssts-lh,rostralmiddlefrontal-lh,control,0.0
14,beta,bankssts-lh,rostralmiddlefrontal-lh,control,0.0030280899207996725
15,beta,bankssts-lh,rostralmiddlefrontal-lh,control,0.0
16,beta,bankssts-lh,rostralmiddlefrontal-lh,control,0.0
17,beta,bankssts-lh,rostralmiddlefrontal-lh,control,0.005789964233164433
18,beta,bankssts-lh,rostralmiddlefrontal-lh,control,0.010073382730452102
19,beta,bankssts-lh,rostralmiddlefrontal-lh,control,0.003925613506094664
20,beta,bankssts-lh,rostralmiddlefrontal-lh,control,0.0
21,beta,bankssts-lh,rostralmiddlefrontal-lh,control,0.0
22,beta,bankssts-lh,rostralmiddlefrontal-lh,control,0.013598106555692728
23,beta,bankssts-lh,rostralmiddlefrontal-lh,case,0.017417844381046318
24,beta,bankssts-lh,rostralmiddlefrontal-lh,case,0.01182946341125329
25,beta,bankssts-lh,rostralmiddlefrontal-lh,case,0.011408075913280268
26,beta,bankssts-lh,rostralmiddlefrontal-lh,case,0.015223124545593348
27,beta,bankssts-lh,rostralmiddlefrontal-lh,case,0.013418500765373048
28,beta,bankssts-lh,rostralmiddlefrontal-lh,case,0.017399056313156507
29,beta,bankssts-lh,rostralmiddlefrontal-lh,case,0.007499264130793927
30,beta,bankssts-lh,rostralmiddlefrontal-lh,case,0.01159268251368854
31,beta,bankssts-lh,rostralmiddlefrontal-lh,case,0.017936409316634948
32,beta,bankssts-lh,rostralmiddlefrontal-lh,case,0.0
33,beta,bankssts-lh,rostralmiddlefrontal-lh,case,0.015608175669828346
34,beta,bankssts-lh,rostralmiddlefrontal-lh,case,0.018919538372161183
35,beta,bankssts-lh,rostralmiddlefrontal-lh,case,0.021055588556317346
36,beta,bankssts-lh,rostralmiddlefrontal-lh,case,0.010066238686479882
37,beta,bankssts-lh,rostralmiddlefrontal-lh,case,0.009927707842184842
38,beta,bankssts-lh,rostralmiddlefrontal-lh,case,0.0
39,beta,bankssts-lh,rostralmiddlefrontal-lh,case,0.007898402643602588
40,beta,bankssts-lh,rostralmiddlefrontal-lh,case,0.017486676361991044
0,beta,frontalpole-lh,lateraloccipital-lh,control,0.023132414654646945
1,beta,frontalpole-lh,lateraloccipital-lh,control,0.00793478807994641
2,beta,frontalpole-lh,lateraloccipital-lh,control,0.010991901894519875
3,beta,frontalpole-lh,lateraloccipital-lh,control,0.007475244623141811
4,beta,frontalpole-lh,lateraloccipital-lh,control,0.0
5,beta,frontalpole-lh,lateraloccipital-lh,control,0.017160429753356483
6,beta,frontalpole-lh,lateraloccipital-lh,control,0.00948317131529075
7,beta,frontalpole-lh,lateraloccipital-lh,control,0.0
8,beta,frontalpole-lh,lateraloccipital-lh,control,0.008718822845000881
9,beta,frontalpole-lh,lateraloccipital-lh,control,0.0035489697652341568
10,beta,frontalpole-lh,lateraloccipital-lh,control,0.021935902516132498
11,beta,frontalpole-lh,lateraloccipital-lh,control,0.0
12,beta,frontalpole-lh,lateraloccipital-lh,control,0.011806283926757076
13,beta,frontalpole-lh,lateraloccipital-lh,control,0.008327036051287621
14,beta,frontalpole-lh,lateraloccipital-lh,control,0.01896903113819728
15,beta,frontalpole-lh,lateraloccipital-lh,control,0.0
16,beta,frontalpole-lh,lateraloccipital-lh,control,0.016598926478251817
17,beta,frontalpole-lh,lateraloccipital-lh,control,0.0
18,beta,frontalpole-lh,lateraloccipital-lh,control,0.008559051411620076
19,beta,frontalpole-lh,lateraloccipital-lh,control,0.0
20,beta,frontalpole-lh,lateraloccipital-lh,control,0.0
21,beta,frontalpole-lh,lateraloccipital-lh,control,0.0
22,beta,frontalpole-lh,lateraloccipital-lh,control,0.007020979576354451
23,beta,frontalpole-lh,lateraloccipital-lh,case,0.02384888677594387
24,beta,frontalpole-lh,lateraloccipital-lh,case,0.0
25,beta,frontalpole-lh,lateraloccipital-lh,case,0.01622606751602489
26,beta,frontalpole-lh,lateraloccipital-lh,case,0.034662083578426095
27,beta,frontalpole-lh,lateraloccipital-lh,case,0.0222729250948091
28,beta,frontalpole-lh,lateraloccipital-lh,case,0.022681315660692866
29,beta,frontalpole-lh,lateraloccipital-lh,case,0.03971350376608602
30,beta,frontalpole-lh,lateraloccipital-lh,case,0.027946447199871244
31,beta,frontalpole-lh,lateraloccipital-lh,case,0.01622425922794757
32,beta,frontalpole-lh,lateraloccipital-lh,case,0.0
33,beta,frontalpole-lh,lateraloccipital-lh,case,0.014443412540564887
34,beta,frontalpole-lh,lateraloccipital-lh,case,0.030781415462255147
35,beta,frontalpole-lh,lateraloccipital-lh,case,0.036422534055021556
36,beta,frontalpole-lh,lateraloccipital-lh,case,0.029675693496864396
37,beta,frontalpole-lh,lateraloccipital-lh,case,0.02679874848470864
38,beta,frontalpole-lh,lateraloccipital-lh,case,0.02047990075612891
39,beta,frontalpole-lh,lateraloccipital-lh,case,0.01673755800405358
40,beta,frontalpole-lh,lateraloccipital-lh,case,0.01589627331315881
0,gamma,bankssts-lh,parsorbitalis-lh,control,0.0
1,gamma,bankssts-lh,parsorbitalis-lh,control,0.00813836845095207
2,gamma,bankssts-lh,parsorbitalis-lh,control,0.003329220482174687
3,gamma,bankssts-lh,parsorbitalis-lh,control,0.014446448479080212
4,gamma,bankssts-lh,parsorbitalis-lh,control,0.006020190833551801
5,gamma,bankssts-lh,parsorbitalis-lh,control,0.013779986264303252
6,gamma,bankssts-lh,parsorbitalis-lh,control,0.005613162959391145
7,gamma,bankssts-lh,parsorbitalis-lh,control,0.0
8,gamma,bankssts-lh,parsorbitalis-lh,control,0.009057163454101227
9,gamma,bankssts-lh,parsorbitalis-lh,control,0.0
10,gamma,bankssts-lh,parsorbitalis-lh,control,0.007287039539125935
11,gamma,bankssts-lh,parsorbitalis-lh,control,0.0
12,gamma,bankssts-lh,parsorbitalis-lh,control,0.0
13,gamma,bankssts-lh,parsorbitalis-lh,control,0.008312397622092585
14,gamma,bankssts-lh,parsorbitalis-lh,control,0.009755888304101054
15,gamma,bankssts-lh,parsorbitalis-lh,control,0.0028957916752936144
16,gamma,bankssts-lh,parsorbitalis-lh,control,0.0
17,gamma,bankssts-lh,parsorbitalis-lh,control,0.0029092722940744784
18,gamma,bankssts-lh,parsorbitalis-lh,control,0.0
19,gamma,bankssts-lh,parsorbitalis-lh,control,0.004508188542371975
20,gamma,bankssts-lh,parsorbitalis-lh,control,0.0
21,gamma,bankssts-lh,parsorbitalis-lh,control,0.0015978834461595362
22,gamma,bankssts-lh,parsorbitalis-lh,control,0.0164311100038171
23,gamma,bankssts-lh,parsorbitalis-lh,case,0.02003651225175192
24,gamma,bankssts-lh,parsorbitalis-lh,case,0.0060222412150560175
25,gamma,bankssts-lh,parsorbitalis-lh,case,0.009701937221211392
26,gamma,bankssts-lh,parsorbitalis-lh,case,0.02144521515030504
27,gamma,bankssts-lh,parsorbitalis-lh,case,0.014704498772984262
28,gamma,bankssts-lh,parsorbitalis-lh,case,0.02173870476149731
29,gamma,bankssts-lh,parsorbitalis-lh,case,0.012788970367839192
30,gamma,bankssts-lh,parsorbitalis-lh,case,0.014254472626822692
31,gamma,bankssts-lh,parsorbitalis-lh,case,0.01934024028487264
32,gamma,bankssts-lh,parsorbitalis-lh,case,0.008066140355566366
33,gamma,bankssts-lh,parsorbitalis-lh,case,0.011823668176520048
34,gamma,bankssts-lh,parsorbitalis-lh,case,0.013232403898246979
35,gamma,bankssts-lh,parsorbitalis-lh,case,0.014952941083397942
36,gamma,bankssts-lh,parsorbitalis-lh,case,0.014468919023003776
37,gamma,bankssts-lh,parsorbitalis-lh,case,0.011397593910327092
38,gamma,bankssts-lh,parsorbitalis-lh,case,0.014032423927659944
39,gamma,bankssts-lh,parsorbitalis-lh,case,0.011098762026234398
40,gamma,bankssts-lh,parsorbitalis-lh,case,0.015231360328585526
0,gamma,frontalpole-rh,superiorfrontal-lh,control,0.01371950888605446
1,gamma,frontalpole-rh,superiorfrontal-lh,control,0.01448310375181074
2,gamma,frontalpole-rh,superiorfrontal-lh,control,0.019429533186489375
3,gamma,frontalpole-rh,superiorfrontal-lh,control,0.019724528311262614
4,gamma,frontalpole-rh,superiorfrontal-lh,control,0.015735499865186582
5,gamma,frontalpole-rh,superiorfrontal-lh,control,0.02125627210354921
6,gamma,frontalpole-rh,superiorfrontal-lh,control,0.023747321571342246
7,gamma,frontalpole-rh,superiorfrontal-lh,control,0.021784328377192883
8,gamma,frontalpole-rh,superiorfrontal-lh,control,0.010984458349729928
9,gamma,frontalpole-rh,superiorfrontal-lh,control,0.013516610573985358
10,gamma,frontalpole-rh,superiorfrontal-lh,control,0.01414988309882773
11,gamma,frontalpole-rh,superiorfrontal-lh,control,0.023778005324589103
12,gamma,frontalpole-rh,superiorfrontal-lh,control,0.01829404253997391
13,gamma,frontalpole-rh,superiorfrontal-lh,control,0.02471409752791478
14,gamma,frontalpole-rh,superiorfrontal-lh,control,0.017634966619014546
15,gamma,frontalpole-rh,superiorfrontal-lh,control,0.023434466967944444
16,gamma,frontalpole-rh,superiorfrontal-lh,control,0.015571237979061011
17,gamma,frontalpole-rh,superiorfrontal-lh,control,0.007640299594396648
18,gamma,frontalpole-rh,superiorfrontal-lh,control,0.01756984857983827
19,gamma,frontalpole-rh,superiorfrontal-lh,control,0.015402586754269502
20,gamma,frontalpole-rh,superiorfrontal-lh,control,0.01665209570421428
21,gamma,frontalpole-rh,superiorfrontal-lh,control,0.02209758701310366
22,gamma,frontalpole-rh,superiorfrontal-lh,control,0.022852445431775604
23,gamma,frontalpole-rh,superiorfrontal-lh,case,0.0055995088583558695
24,gamma,frontalpole-rh,superiorfrontal-lh,case,0.0
25,gamma,frontalpole-rh,superiorfrontal-lh,case,0.0
26,gamma,frontalpole-rh,superiorfrontal-lh,case,0.0
27,gamma,frontalpole-rh,superiorfrontal-lh,case,0.011620201707502435
28,gamma,frontalpole-rh,superiorfrontal-lh,case,0.012505682279997063
29,gamma,frontalpole-rh,superiorfrontal-lh,case,0.0
30,gamma,frontalpole-rh,superiorfrontal-lh,case,0.0017307896849637473
31,gamma,frontalpole-rh,superiorfrontal-lh,case,0.008838260359866314
32,gamma,frontalpole-rh,superiorfrontal-lh,case,0.0
33,gamma,frontalpole-rh,superiorfrontal-lh,case,0.01583103462275849
34,gamma,frontalpole-rh,superiorfrontal-lh,case,0.0037514526800908766
35,gamma,frontalpole-rh,superiorfrontal-lh,case,0.022823843553687752
36,gamma,frontalpole-rh,superiorfrontal-lh,case,0.006480247303213072
37,gamma,frontalpole-rh,superiorfrontal-lh,case,0.025053635249997565
38,gamma,frontalpole-rh,superiorfrontal-lh,case,0.014915753441089351
39,gamma,frontalpole-rh,superiorfrontal-lh,case,0.01241301385456382
40,gamma,frontalpole-rh,superiorfrontal-lh,case,0.010184372568166513
0,gamma,frontalpole-rh,superiorfrontal-rh,control,0.015033200496851003
1,gamma,frontalpole-rh,superiorfrontal-rh,control,0.015340789529316839
2,gamma,frontalpole-rh,superiorfrontal-rh,control,0.019353866605627993
3,gamma,frontalpole-rh,superiorfrontal-rh,control,0.018818975175607947
4,gamma,frontalpole-rh,superiorfrontal-rh,control,0.014035276068226044
5,gamma,frontalpole-rh,superiorfrontal-rh,control,0.021284404676281468
6,gamma,frontalpole-rh,superiorfrontal-rh,control,0.01780622656675552
7,gamma,frontalpole-rh,superiorfrontal-rh,control,0.020889909813901698
8,gamma,frontalpole-rh,superiorfrontal-rh,control,0.018156615247429137
9,gamma,frontalpole-rh,superiorfrontal-rh,control,0.014545220222127305
10,gamma,frontalpole-rh,superiorfrontal-rh,control,0.01265896009754647
11,gamma,frontalpole-rh,superiorfrontal-rh,control,0.023115058583913568
12,gamma,frontalpole-rh,superiorfrontal-rh,control,0.023418044246751927
13,gamma,frontalpole-rh,superiorfrontal-rh,control,0.025541991787930925
14,gamma,frontalpole-rh,superiorfrontal-rh,control,0.02249409890672237
15,gamma,frontalpole-rh,superiorfrontal-rh,control,0.021058287598140234
16,gamma,frontalpole-rh,superiorfrontal-rh,control,0.02209953780041743
17,gamma,frontalpole-rh,superiorfrontal-rh,control,0.01726716392731089
18,gamma,frontalpole-rh,superiorfrontal-rh,control,0.016917233680228974
19,gamma,frontalpole-rh,superiorfrontal-rh,control,0.016274118563178452
20,gamma,frontalpole-rh,superiorfrontal-rh,control,0.014529277827586274
21,gamma,frontalpole-rh,superiorfrontal-rh,control,0.02274558003378822
22,gamma,frontalpole-rh,superiorfrontal-rh,control,0.021050911482602973
23,gamma,frontalpole-rh,superiorfrontal-rh,case,0.007658005843014398
24,gamma,frontalpole-rh,superiorfrontal-rh,case,0.0
25,gamma,frontalpole-rh,superiorfrontal-rh,case,0.0
26,gamma,frontalpole-rh,superiorfrontal-rh,case,0.0
27,gamma,frontalpole-rh,superiorfrontal-rh,case,0.003205403447632845
28,gamma,frontalpole-rh,superiorfrontal-rh,case,0.013992462435087609
29,gamma,frontalpole-rh,superiorfrontal-rh,case,0.0022089158321011906
30,gamma,frontalpole-rh,superiorfrontal-rh,case,0.0
31,gamma,frontalpole-rh,superiorfrontal-rh,case,0.012197690961691375
32,gamma,frontalpole-rh,superiorfrontal-rh,case,0.0
33,gamma,frontalpole-rh,superiorfrontal-rh,case,0.01512644358761328
34,gamma,frontalpole-rh,superiorfrontal-rh,case,0.007580888266726833
35,gamma,frontalpole-rh,superiorfrontal-rh,case,0.023118265052405263
36,gamma,frontalpole-rh,superiorfrontal-rh,case,0.019797900437937638
37,gamma,frontalpole-rh,superiorfrontal-rh,case,0.01906615722604031
38,gamma,frontalpole-rh,superiorfrontal-rh,case,0.012014499811586319
39,gamma,frontalpole-rh,superiorfrontal-rh,case,0.013257977701606851
40,gamma,frontalpole-rh,superiorfrontal-rh,case,0.011054206904545333
